SPRINGBOOT_SECURITY 12:41:16.821 DEBUG com.kt.edu.thirdproject.common.config.JwtRequestFilter : - Filter 'jwtRequestFilter' configured for use 
SPRINGBOOT_SECURITY 12:41:16.864 INFO  jdbc.sqltiming : - create sequence hibernate_sequence\n {executed in 1 msec} 
SPRINGBOOT_SECURITY 12:41:16.866 INFO  jdbc.sqltiming : - create table employee ( id long not null, empName varchar(255), empDeptName varchar(255), empTelNo varchar(20), empMail varchar(25) )\n {executed in 2 msec} 
SPRINGBOOT_SECURITY 12:41:16.867 INFO  jdbc.sqltiming : - alter table employee add constraint employee_pk primary key (id)\n {executed in 1 msec} 
SPRINGBOOT_SECURITY 12:41:16.929 INFO  org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer : - LiveReload server is running on port 35729 
SPRINGBOOT_SECURITY 12:41:17.251 INFO  org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver : - Exposing 6 endpoint(s) beneath base path '/actuator' 
SPRINGBOOT_SECURITY 12:41:17.286 INFO  org.springframework.security.web.DefaultSecurityFilterChain : - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@655d301a, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@d1b4310, org.springframework.security.web.context.SecurityContextHolderFilter@786a99ef, org.springframework.security.web.header.HeaderWriterFilter@1403fbe9, org.springframework.web.filter.CorsFilter@1f957702, org.springframework.security.web.authentication.logout.LogoutFilter@7200b34f, com.kt.edu.thirdproject.common.config.JwtRequestFilter@369b0cec, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@2b709b9f, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@2284ec5, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@6cd0aa88, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@364894f4, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@40579976, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@60819ae8, org.springframework.security.web.session.SessionManagementFilter@b807206, org.springframework.security.web.access.ExceptionTranslationFilter@437fd654, org.springframework.security.web.access.intercept.AuthorizationFilter@3a361801] 
SPRINGBOOT_SECURITY 12:41:17.289 WARN  org.springframework.security.config.annotation.web.builders.WebSecurity : - You are asking Spring Security to ignore org.springframework.boot.autoconfigure.security.servlet.StaticResourceRequest$StaticResourceRequestMatcher@22ac28c4. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead. 
SPRINGBOOT_SECURITY 12:41:17.289 INFO  org.springframework.security.web.DefaultSecurityFilterChain : - Will not secure org.springframework.boot.autoconfigure.security.servlet.StaticResourceRequest$StaticResourceRequestMatcher@22ac28c4 
SPRINGBOOT_SECURITY 12:41:17.454 INFO  org.apache.coyote.http11.Http11NioProtocol : - Starting ProtocolHandler ["http-nio-8080"] 
SPRINGBOOT_SECURITY 12:41:17.461 INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer : - Tomcat started on port 8080 (http) with context path '' 
SPRINGBOOT_SECURITY 12:41:17.471 INFO  com.kt.edu.thirdproject.ThirdprojectApplication : - Started ThirdprojectApplication in 1.806 seconds (process running for 2.514) 
SPRINGBOOT_SECURITY 12:41:28.940 INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : - Initializing Spring DispatcherServlet 'dispatcherServlet' 
SPRINGBOOT_SECURITY 12:41:28.940 INFO  org.springframework.web.servlet.DispatcherServlet : - Initializing Servlet 'dispatcherServlet' 
SPRINGBOOT_SECURITY 12:41:28.943 INFO  org.springframework.web.servlet.DispatcherServlet : - Completed initialization in 2 ms 
SPRINGBOOT_SECURITY 12:41:29.241 INFO  com.kt.edu.thirdproject.employee.service.EmployeeService : - Request to get all Employees 
SPRINGBOOT_SECURITY 12:41:29.242 INFO  com.kt.edu.thirdproject.employee.service.EmployeeService : - h2 password : caravan 
SPRINGBOOT_SECURITY 12:41:29.282 INFO  jdbc.sqltiming : - SELECT "EMPLOYEE"."ID" AS "ID", "EMPLOYEE"."EMPNAME" AS "EMPNAME", "EMPLOYEE"."EMPMAIL" AS "EMPMAIL", "EMPLOYEE"."EMPTELNO" AS "EMPTELNO", "EMPLOYEE"."EMPDEPTNAME" AS "EMPDEPTNAME" FROM "EMPLOYEE"\n {executed in 2 msec} 
SPRINGBOOT_SECURITY 12:41:29.286 INFO  jdbc.resultsettable : - \n|---|--------|--------|---------|------------|\n|id |empname |empmail |emptelno |empdeptname |\n|---|--------|--------|---------|------------|\n|---|--------|--------|---------|------------|\n 
SPRINGBOOT_SECURITY 12:41:38.405 INFO  com.zaxxer.hikari.HikariDataSource : - hikari-cp - Shutdown initiated... 
SPRINGBOOT_SECURITY 12:41:38.409 INFO  com.zaxxer.hikari.HikariDataSource : - hikari-cp - Shutdown completed. 
